conversationId	turnNumber	utteranceId	utterance	slot-labels	intent
0fc859b3-13a3-43ba-b2d0-17c8a8bb29c3	0	<CONV>0fc859b3-13a3-43ba-b2d0-17c8a8bb29c3<TURN>0	hello	O	openinggreeting
0fc859b3-13a3-43ba-b2d0-17c8a8bb29c3	2	<CONV>0fc859b3-13a3-43ba-b2d0-17c8a8bb29c3<TURN>2	i want to signup for a new internet connection	O O O O O O O service_type O	startserviceintent
0fc859b3-13a3-43ba-b2d0-17c8a8bb29c3	4	<CONV>0fc859b3-13a3-43ba-b2d0-17c8a8bb29c3<TURN>4	austin 36253	current_city current_zipcode	contentonly
0fc859b3-13a3-43ba-b2d0-17c8a8bb29c3	6	<CONV>0fc859b3-13a3-43ba-b2d0-17c8a8bb29c3<TURN>6	10 gb data plan	datacategoryvalues datacategoryvalues O O	contentonly
0fc859b3-13a3-43ba-b2d0-17c8a8bb29c3	8	<CONV>0fc859b3-13a3-43ba-b2d0-17c8a8bb29c3<TURN>8	no queries thanks	O O O	rejection
0fc859b3-13a3-43ba-b2d0-17c8a8bb29c3	10	<CONV>0fc859b3-13a3-43ba-b2d0-17c8a8bb29c3<TURN>10	yes please confirm	O O O	confirmation
0fc859b3-13a3-43ba-b2d0-17c8a8bb29c3	12	<CONV>0fc859b3-13a3-43ba-b2d0-17c8a8bb29c3<TURN>12	sure	O	confirmation
0fc859b3-13a3-43ba-b2d0-17c8a8bb29c3	14	<CONV>0fc859b3-13a3-43ba-b2d0-17c8a8bb29c3<TURN>14	thats all thanks for your help	O O O O O O	thankyou
15592755-d744-445f-a86e-552dc08e0aa5	0	<CONV>15592755-d744-445f-a86e-552dc08e0aa5<TURN>0	hello	O	openinggreeting
15592755-d744-445f-a86e-552dc08e0aa5	2	<CONV>15592755-d744-445f-a86e-552dc08e0aa5<TURN>2	i would like to purchase the internet connection	O O O O O O O O	startserviceintent
15592755-d744-445f-a86e-552dc08e0aa5	4	<CONV>15592755-d744-445f-a86e-552dc08e0aa5<TURN>4	washington 20001	current_city current_zipcode	contentonly
15592755-d744-445f-a86e-552dc08e0aa5	6	<CONV>15592755-d744-445f-a86e-552dc08e0aa5<TURN>6	10 gb okab	datacategoryvalues datacategoryvalues O	contentonly
15592755-d744-445f-a86e-552dc08e0aa5	7	<CONV>15592755-d744-445f-a86e-552dc08e0aa5<TURN>7	10 gb plan	datacategoryvalues datacategoryvalues O	contentonly
15592755-d744-445f-a86e-552dc08e0aa5	8	<CONV>15592755-d744-445f-a86e-552dc08e0aa5<TURN>8		O	outofdomain
15592755-d744-445f-a86e-552dc08e0aa5	10	<CONV>15592755-d744-445f-a86e-552dc08e0aa5<TURN>10	okay	O	confirmation
15592755-d744-445f-a86e-552dc08e0aa5	12	<CONV>15592755-d744-445f-a86e-552dc08e0aa5<TURN>12	nothing	O	rejection
67ab5480-4286-4b57-b001-77814cbf59dc	0	<CONV>67ab5480-4286-4b57-b001-77814cbf59dc<TURN>0	hello	O	openinggreeting
67ab5480-4286-4b57-b001-77814cbf59dc	1	<CONV>67ab5480-4286-4b57-b001-77814cbf59dc<TURN>1	i want to book for internet line and phone line	O O O O O service_type service_type O service_type service_type	startserviceintent
67ab5480-4286-4b57-b001-77814cbf59dc	4	<CONV>67ab5480-4286-4b57-b001-77814cbf59dc<TURN>4	lillyhub 447586	current_city current_zipcode	contentonly
67ab5480-4286-4b57-b001-77814cbf59dc	6	<CONV>67ab5480-4286-4b57-b001-77814cbf59dc<TURN>6	internet phone 5 gb	service_type O datacategoryvalues datacategoryvalues	contentonly
67ab5480-4286-4b57-b001-77814cbf59dc	8	<CONV>67ab5480-4286-4b57-b001-77814cbf59dc<TURN>8	no	O	rejection
67ab5480-4286-4b57-b001-77814cbf59dc	10	<CONV>67ab5480-4286-4b57-b001-77814cbf59dc<TURN>10	yes	O	confirmation
67ab5480-4286-4b57-b001-77814cbf59dc	12	<CONV>67ab5480-4286-4b57-b001-77814cbf59dc<TURN>12	ok	O	startserviceintent
67ab5480-4286-4b57-b001-77814cbf59dc	14	<CONV>67ab5480-4286-4b57-b001-77814cbf59dc<TURN>14	nothing	O	rejection
e3786fc5-ef6f-4535-ad09-783e24c93a9c	0	<CONV>e3786fc5-ef6f-4535-ad09-783e24c93a9c<TURN>0	hi	O	openinggreeting
e3786fc5-ef6f-4535-ad09-783e24c93a9c	2	<CONV>e3786fc5-ef6f-4535-ad09-783e24c93a9c<TURN>2	i need a new internet connection	O O O O service_type O	startserviceintent
e3786fc5-ef6f-4535-ad09-783e24c93a9c	4	<CONV>e3786fc5-ef6f-4535-ad09-783e24c93a9c<TURN>4	city delware	O current_city	contentonly
e3786fc5-ef6f-4535-ad09-783e24c93a9c	6	<CONV>e3786fc5-ef6f-4535-ad09-783e24c93a9c<TURN>6	pin 23457	O O	contentonly
e3786fc5-ef6f-4535-ad09-783e24c93a9c	7	<CONV>e3786fc5-ef6f-4535-ad09-783e24c93a9c<TURN>7	5 gb paln	datacategoryvalues datacategoryvalues O	contentonly
e3786fc5-ef6f-4535-ad09-783e24c93a9c	9	<CONV>e3786fc5-ef6f-4535-ad09-783e24c93a9c<TURN>9	ok	O	confirmation
e3786fc5-ef6f-4535-ad09-783e24c93a9c	11	<CONV>e3786fc5-ef6f-4535-ad09-783e24c93a9c<TURN>11	no	O	rejection
e3786fc5-ef6f-4535-ad09-783e24c93a9c	12	<CONV>e3786fc5-ef6f-4535-ad09-783e24c93a9c<TURN>12	thank you so much	O O O O	thankyou
c03acc14-2f4f-4462-8d3d-90f42243fa5d	0	<CONV>c03acc14-2f4f-4462-8d3d-90f42243fa5d<TURN>0	hai	O	openinggreeting
c03acc14-2f4f-4462-8d3d-90f42243fa5d	2	<CONV>c03acc14-2f4f-4462-8d3d-90f42243fa5d<TURN>2	i want new cable service	O O O service_type O	startserviceintent
c03acc14-2f4f-4462-8d3d-90f42243fa5d	4	<CONV>c03acc14-2f4f-4462-8d3d-90f42243fa5d<TURN>4	my city name chennai and zip code 963741	O O O current_city O O O current_zipcode	contentonly
c03acc14-2f4f-4462-8d3d-90f42243fa5d	5	<CONV>c03acc14-2f4f-4462-8d3d-90f42243fa5d<TURN>5	please check your connect	O O O O	outofdomain
c03acc14-2f4f-4462-8d3d-90f42243fa5d	7	<CONV>c03acc14-2f4f-4462-8d3d-90f42243fa5d<TURN>7	5 gb	datacategoryvalues datacategoryvalues	contentonly
c03acc14-2f4f-4462-8d3d-90f42243fa5d	9	<CONV>c03acc14-2f4f-4462-8d3d-90f42243fa5d<TURN>9	okay	O	confirmation
c03acc14-2f4f-4462-8d3d-90f42243fa5d	11	<CONV>c03acc14-2f4f-4462-8d3d-90f42243fa5d<TURN>11	okay	O	confirmation
c03acc14-2f4f-4462-8d3d-90f42243fa5d	13	<CONV>c03acc14-2f4f-4462-8d3d-90f42243fa5d<TURN>13	nothanks	O	rejection
e24a1279-dda7-47d9-8502-677c1314810c	0	<CONV>e24a1279-dda7-47d9-8502-677c1314810c<TURN>0	i need internet	O O service_type	startserviceintent
e24a1279-dda7-47d9-8502-677c1314810c	3	<CONV>e24a1279-dda7-47d9-8502-677c1314810c<TURN>3	panruti 36566	current_city current_zipcode	contentonly
e24a1279-dda7-47d9-8502-677c1314810c	5	<CONV>e24a1279-dda7-47d9-8502-677c1314810c<TURN>5	10	datacategoryvalues	contentonly
e24a1279-dda7-47d9-8502-677c1314810c	7	<CONV>e24a1279-dda7-47d9-8502-677c1314810c<TURN>7	yes ok	O O	confirmation
e24a1279-dda7-47d9-8502-677c1314810c	9	<CONV>e24a1279-dda7-47d9-8502-677c1314810c<TURN>9	no thannks	O O	rejection
1020fc88-4ccf-4669-b8ef-0465c515f4c2	0	<CONV>1020fc88-4ccf-4669-b8ef-0465c515f4c2<TURN>0	higud mrng	O O	openinggreeting
1020fc88-4ccf-4669-b8ef-0465c515f4c2	2	<CONV>1020fc88-4ccf-4669-b8ef-0465c515f4c2<TURN>2	need to purchase a cable servicecan u	O O O O service_type O O	startserviceintent
1020fc88-4ccf-4669-b8ef-0465c515f4c2	4	<CONV>1020fc88-4ccf-4669-b8ef-0465c515f4c2<TURN>4	miami 33127	current_city current_zipcode	contentonly
1020fc88-4ccf-4669-b8ef-0465c515f4c2	6	<CONV>1020fc88-4ccf-4669-b8ef-0465c515f4c2<TURN>6	need 5 gb alone	O datacategoryvalues datacategoryvalues O	contentonly
1020fc88-4ccf-4669-b8ef-0465c515f4c2	8	<CONV>1020fc88-4ccf-4669-b8ef-0465c515f4c2<TURN>8	sure	O	confirmation
1020fc88-4ccf-4669-b8ef-0465c515f4c2	10	<CONV>1020fc88-4ccf-4669-b8ef-0465c515f4c2<TURN>10	thank you so much	O O O O	thankyou
1020fc88-4ccf-4669-b8ef-0465c515f4c2	12	<CONV>1020fc88-4ccf-4669-b8ef-0465c515f4c2<TURN>12	yessure	O	confirmation
f750bc67-fb2d-4570-87d5-15ebf55689d5	1	<CONV>f750bc67-fb2d-4570-87d5-15ebf55689d5<TURN>1	hi	O	openinggreeting
f750bc67-fb2d-4570-87d5-15ebf55689d5	2	<CONV>f750bc67-fb2d-4570-87d5-15ebf55689d5<TURN>2	i want to purchase internet	O O O O service_type	startserviceintent
f750bc67-fb2d-4570-87d5-15ebf55689d5	4	<CONV>f750bc67-fb2d-4570-87d5-15ebf55689d5<TURN>4	goa 102896	current_city current_zipcode	contentonly
f750bc67-fb2d-4570-87d5-15ebf55689d5	6	<CONV>f750bc67-fb2d-4570-87d5-15ebf55689d5<TURN>6	10 gb	datacategoryvalues datacategoryvalues	contentonly
f750bc67-fb2d-4570-87d5-15ebf55689d5	8	<CONV>f750bc67-fb2d-4570-87d5-15ebf55689d5<TURN>8	yes	O	confirmation
f750bc67-fb2d-4570-87d5-15ebf55689d5	10	<CONV>f750bc67-fb2d-4570-87d5-15ebf55689d5<TURN>10	nothing else	O O	rejection
2ab5dc88-58a1-4e45-ac1d-2d4373d5fb63	0	<CONV>2ab5dc88-58a1-4e45-ac1d-2d4373d5fb63<TURN>0	hi	O	openinggreeting
2ab5dc88-58a1-4e45-ac1d-2d4373d5fb63	2	<CONV>2ab5dc88-58a1-4e45-ac1d-2d4373d5fb63<TURN>2	i want to purchase internet	O O O O service_type	startserviceintent
