conversationId	turnNumber	sentenceNumber	utteranceId	utterance	slot-labels	intent
31971762-f14e-4d55-b909-0370f6e4db19	0	0	<CONV>31971762-f14e-4d55-b909-0370f6e4db19<TURN>0<SENT>0	hi good morning	O O O	openinggreeting
31971762-f14e-4d55-b909-0370f6e4db19	2	0	<CONV>31971762-f14e-4d55-b909-0370f6e4db19<TURN>2<SENT>0	i want to book a ticket in flight	O O O O O O O O	bookflight
31971762-f14e-4d55-b909-0370f6e4db19	4	0	<CONV>31971762-f14e-4d55-b909-0370f6e4db19<TURN>4<SENT>0	viswa	name	contentonly
31971762-f14e-4d55-b909-0370f6e4db19	6	0	<CONV>31971762-f14e-4d55-b909-0370f6e4db19<TURN>6<SENT>0	mumbai to chennai	departure_city O arrival_city	contentonly
31971762-f14e-4d55-b909-0370f6e4db19	8	0	<CONV>31971762-f14e-4d55-b909-0370f6e4db19<TURN>8<SENT>0	92018	start_date	contentonly
31971762-f14e-4d55-b909-0370f6e4db19	10	0	<CONV>31971762-f14e-4d55-b909-0370f6e4db19<TURN>10<SENT>0	ok sure	O O	confirmation
31971762-f14e-4d55-b909-0370f6e4db19	12	0	<CONV>31971762-f14e-4d55-b909-0370f6e4db19<TURN>12<SENT>0	3 persons nivika 45 gmailcom	number_of_passengers O email_address email_address email_address	contentonly
31971762-f14e-4d55-b909-0370f6e4db19	14	0	<CONV>31971762-f14e-4d55-b909-0370f6e4db19<TURN>14<SENT>0	ok thank you	O O O	thankyou
31971762-f14e-4d55-b909-0370f6e4db19	16	0	<CONV>31971762-f14e-4d55-b909-0370f6e4db19<TURN>16<SENT>0	ok thank you	O O O	thankyou
31971762-f14e-4d55-b909-0370f6e4db19	18	0	<CONV>31971762-f14e-4d55-b909-0370f6e4db19<TURN>18<SENT>0	ok	O	bookflight
31971762-f14e-4d55-b909-0370f6e4db19	20	0	<CONV>31971762-f14e-4d55-b909-0370f6e4db19<TURN>20<SENT>0	nothing elser	O O	rejection
c16254a0-f0c3-4c50-b8cd-17936cba59aa	0	0	<CONV>c16254a0-f0c3-4c50-b8cd-17936cba59aa<TURN>0<SENT>0	hello robin	O O	openinggreeting
c16254a0-f0c3-4c50-b8cd-17936cba59aa	2	0	<CONV>c16254a0-f0c3-4c50-b8cd-17936cba59aa<TURN>2<SENT>0	i need boarding pass	O O O O	getboardingpass
c16254a0-f0c3-4c50-b8cd-17936cba59aa	4	0	<CONV>c16254a0-f0c3-4c50-b8cd-17936cba59aa<TURN>4<SENT>0	mohan	name	contentonly
c16254a0-f0c3-4c50-b8cd-17936cba59aa	6	0	<CONV>c16254a0-f0c3-4c50-b8cd-17936cba59aa<TURN>6<SENT>0	confirmation number moh 523	O O booking_confirmation_number booking_confirmation_number	contentonly
c16254a0-f0c3-4c50-b8cd-17936cba59aa	8	0	<CONV>c16254a0-f0c3-4c50-b8cd-17936cba59aa<TURN>8<SENT>0	mohan 283 gmailcom	email_address email_address email_address	contentonly
c16254a0-f0c3-4c50-b8cd-17936cba59aa	10	0	<CONV>c16254a0-f0c3-4c50-b8cd-17936cba59aa<TURN>10<SENT>0	no	O	rejection
8940c040-f4b6-4800-b00f-a48cf8e28fa7	1	0	<CONV>8940c040-f4b6-4800-b00f-a48cf8e28fa7<TURN>1<SENT>0	i need a boarding pass	O O O O O	getboardingpass
8940c040-f4b6-4800-b00f-a48cf8e28fa7	3	0	<CONV>8940c040-f4b6-4800-b00f-a48cf8e28fa7<TURN>3<SENT>0	my name is raja	O O O name	contentonly
8940c040-f4b6-4800-b00f-a48cf8e28fa7	5	0	<CONV>8940c040-f4b6-4800-b00f-a48cf8e28fa7<TURN>5<SENT>0	booking confirmation number hgf 456	O O O booking_confirmation_number booking_confirmation_number	contentonly
8940c040-f4b6-4800-b00f-a48cf8e28fa7	7	0	<CONV>8940c040-f4b6-4800-b00f-a48cf8e28fa7<TURN>7<SENT>0	raja 143 gmailcom	email_address email_address email_address	contentonly
8940c040-f4b6-4800-b00f-a48cf8e28fa7	9	0	<CONV>8940c040-f4b6-4800-b00f-a48cf8e28fa7<TURN>9<SENT>0	ok	O	contentonly
5a26408f-f0ca-46c6-9c10-d54b2bdf1995	0	0	<CONV>5a26408f-f0ca-46c6-9c10-d54b2bdf1995<TURN>0<SENT>0	hai	O	openinggreeting
5a26408f-f0ca-46c6-9c10-d54b2bdf1995	1	0	<CONV>5a26408f-f0ca-46c6-9c10-d54b2bdf1995<TURN>1<SENT>0	my boarding pass to be sent to my email address or phone number	O O O O O O O O O O O O O	getboardingpass
5a26408f-f0ca-46c6-9c10-d54b2bdf1995	4	0	<CONV>5a26408f-f0ca-46c6-9c10-d54b2bdf1995<TURN>4<SENT>0	anthony	name	contentonly
5a26408f-f0ca-46c6-9c10-d54b2bdf1995	6	0	<CONV>5a26408f-f0ca-46c6-9c10-d54b2bdf1995<TURN>6<SENT>0	g 75 f 34	booking_confirmation_number booking_confirmation_number booking_confirmation_number booking_confirmation_number	contentonly
5a26408f-f0ca-46c6-9c10-d54b2bdf1995	8	0	<CONV>5a26408f-f0ca-46c6-9c10-d54b2bdf1995<TURN>8<SENT>0	anthonymailcom	email_address	contentonly
5a26408f-f0ca-46c6-9c10-d54b2bdf1995	10	0	<CONV>5a26408f-f0ca-46c6-9c10-d54b2bdf1995<TURN>10<SENT>0	no thanks	O O	rejection
380d5668-f930-44f3-8b88-543f5db48924	0	0	<CONV>380d5668-f930-44f3-8b88-543f5db48924<TURN>0<SENT>0	hi	O	openinggreeting
380d5668-f930-44f3-8b88-543f5db48924	2	0	<CONV>380d5668-f930-44f3-8b88-543f5db48924<TURN>2<SENT>0	i went to know my sent no	O O O O O O O	outofdomain
