conversationId	turnNumber	utteranceId	utterance	slot-labels	intent
98e0ed04-f590-4469-a96b-839ee0d83977	0	<CONV>98e0ed04-f590-4469-a96b-839ee0d83977<TURN>0	hi	O	openinggreeting
98e0ed04-f590-4469-a96b-839ee0d83977	2	<CONV>98e0ed04-f590-4469-a96b-839ee0d83977<TURN>2	i need one red vine	O O O drink_item drink_item	orderdrinkintent
98e0ed04-f590-4469-a96b-839ee0d83977	5	<CONV>98e0ed04-f590-4469-a96b-839ee0d83977<TURN>5	medium	size	contentonly
98e0ed04-f590-4469-a96b-839ee0d83977	7	<CONV>98e0ed04-f590-4469-a96b-839ee0d83977<TURN>7	ok	O	confirmation
98e0ed04-f590-4469-a96b-839ee0d83977	9	<CONV>98e0ed04-f590-4469-a96b-839ee0d83977<TURN>9	seasonal fruit goat cheese	food_item food_item ingredient ingredient	contentonly
98e0ed04-f590-4469-a96b-839ee0d83977	11	<CONV>98e0ed04-f590-4469-a96b-839ee0d83977<TURN>11	yes 1 soda	O quantity drink_item	orderdrinkintent
98e0ed04-f590-4469-a96b-839ee0d83977	13	<CONV>98e0ed04-f590-4469-a96b-839ee0d83977<TURN>13	yes	O	orderdrinkintent
98e0ed04-f590-4469-a96b-839ee0d83977	14	<CONV>98e0ed04-f590-4469-a96b-839ee0d83977<TURN>14	complete my order please	O O O O	outofdomain
98e0ed04-f590-4469-a96b-839ee0d83977	16	<CONV>98e0ed04-f590-4469-a96b-839ee0d83977<TURN>16	address 1105 boston road springfield ma 1119 and contact number 968 745 1256	O address address address address address address O O O phonenumber phonenumber phonenumber	contentonly
98e0ed04-f590-4469-a96b-839ee0d83977	17	<CONV>98e0ed04-f590-4469-a96b-839ee0d83977<TURN>17	cash on delivery	payment_type O O	contentonly
98e0ed04-f590-4469-a96b-839ee0d83977	19	<CONV>98e0ed04-f590-4469-a96b-839ee0d83977<TURN>19	ok thank you for your order	O O O O O O	confirmation
